policy,S,M,N,F,i,u0,q2_C1_cache,q2_C2_cache,cost_wan,stage,feasible,p30,max_delay_ms,mean_delay_ms,unreachable_rate,sample_count,reachable_count,robustness_margin
strict_Tmax30,1480,37,40,31,50.0,0.0,0.999761,0.969157,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,50.0,2.25,0.99978,0.969119,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,50.0,4.5,0.999761,0.969059,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,50.0,6.75,0.999771,0.969027,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,30,50.25,0.0,0.999688,0.968563,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,30,50.25,2.25,0.999679,0.968519,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,30,50.25,4.5,0.999712,0.968418,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,30,50.25,6.75,0.999731,0.968316,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,50.25,0.0,0.999789,0.968237,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,50.25,4.5,0.999794,0.968234,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,50.25,2.25,0.999794,0.968162,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,50.25,6.75,0.999809,0.96815,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,32,50.25,0.0,0.999719,0.967722,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,32,50.25,2.25,0.9997,0.967629,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,32,50.25,6.75,0.999695,0.967535,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,32,50.25,4.5,0.999692,0.967501,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,30,49.75,4.5,0.999678,0.967371,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,30,49.75,2.25,0.999692,0.967242,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,49.75,6.75,0.999714,0.966915,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,30,49.75,6.75,0.999659,0.9669,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,30,49.75,0.0,0.999659,0.966867,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,49.75,0.0,0.999704,0.966811,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,49.75,4.5,0.999709,0.966809,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,49.75,2.25,0.999704,0.966745,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,32,49.75,4.5,0.999883,0.965295,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,32,49.75,2.25,0.999892,0.965197,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,32,49.75,6.75,0.999869,0.965164,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,32,49.75,0.0,0.999905,0.96498,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,51.0,2.25,0.99963,0.96463,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,51.0,4.5,0.999606,0.964548,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,51.0,0.0,0.999635,0.964373,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1480,37,40,31,51.0,6.75,0.999649,0.964304,1240000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,84,49.75,7.5,0.999745,0.978335,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,84,49.75,0.0,0.999755,0.978326,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,84,49.75,15.0,0.99977,0.977805,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,84,49.75,22.5,0.999779,0.977621,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,84,50.25,7.5,0.999543,0.976713,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,84,50.25,0.0,0.999564,0.976667,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,84,50.25,15.0,0.999568,0.976559,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,84,50.25,22.5,0.999597,0.976444,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,50.0,15.0,0.999729,0.974503,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,50.0,0.0,0.999728,0.974484,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,50.0,22.5,0.999724,0.974415,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,50.0,7.5,0.999744,0.974272,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,50.25,15.0,0.99959,0.974179,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,50.25,0.0,0.999609,0.974159,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,50.25,7.5,0.999576,0.973966,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,50.25,22.5,0.99958,0.973952,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,49.75,22.5,0.999838,0.973315,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,49.75,0.0,0.999829,0.973216,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,49.75,15.0,0.999876,0.97305,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,49.75,7.5,0.999886,0.973004,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,60,25,15,51.0,10.8,0.999186,0.97043,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,60,25,15,51.0,7.2,0.99922,0.970335,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,60,25,15,51.0,0.0,0.999191,0.970295,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,60,25,15,51.0,3.6,0.99921,0.970285,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,51.0,22.5,0.999099,0.968636,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,51.0,0.0,0.999129,0.968634,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,51.0,15.0,0.999172,0.968556,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,125,12,83,51.0,7.5,0.999152,0.968453,1250000,delay_lower_bound_reject,False,,,,,,,
strict_Tmax30,1500,250,6,208,50.0,0.0,0.999718,0.965603,1250000,topology_reject,False,,,,,,,
strict_Tmax30,1500,250,6,208,50.0,30.0,0.99968,0.96552,1250000,topology_reject,False,,,,,,,
strict_Tmax30,1500,250,6,208,50.0,15.0,0.999727,0.96404,1250000,topology_reject,False,,,,,,,
strict_Tmax30,1500,250,6,208,50.0,45.0,0.999797,0.963868,1250000,topology_reject,False,,,,,,,
